What,Value,Property,1,2,3,4,5,6,7,8,9,sizemin,sizemax,Cut,Polish,Sym,Shape
HO,HO,OHT,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,1,2.99,EX,,,RO
HO,HO,OHC,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,1,2.99,EX,,,RO
HO,HO,OHG,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,1,2.99,EX,,,RO
HO,HO,OHP,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,0.0,0.0,0.0,1,2.99,EX,,,RO
Open,Small,OT1,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,1,2.99,EX,,,RO
Open,Small,OC1,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,1,2.99,EX,,,RO
Open,Small,OG1,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,1,2.99,EX,,,RO
Open,Small,OP1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-0.5,-0.5,0.0,1,2.99,EX,,,RO
Open,Medium,OT2,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,1,2.99,EX,,,RO
Open,Medium,OC2,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,-4.0,-4.0,-3.0,1,2.99,EX,,,RO
Open,Medium,OG2,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,1,2.99,EX,,,RO
Open,Medium,OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-2.5,-2.5,-1.5,1,2.99,EX,,,RO
Open,Big,OT3,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,1,2.99,EX,,,RO
Open,Big,OC3,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,-7.0,-7.0,-6.0,1,2.99,EX,,,RO
Open,Big,OG3,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,-6.0,-6.0,-5.0,1,2.99,EX,,,RO
Open,Big,OP3,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-5.0,-5.0,-4.0,1,2.99,EX,,,RO
Natural,Indented Natural,INT,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,1,2.99,EX,,,RO
Natural,Indented Natural,INC,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,1,2.99,EX,,,RO
Natural,Indented Natural,ING,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,1,2.99,EX,,,RO
Natural,Indented Natural,INP,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,1,2.99,EX,,,RO
Natural,Natural,NC1,-1.5,-1.5,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,1,2.99,EX,,,RO
Natural,Natural,NC2,-2.0,-2.0,-1.5,-1.5,-1.5,-0.5,-1.0,-1.0,-0.5,1,2.99,EX,,,RO
Natural,Natural,NC3,-4.0,-4.0,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,1,2.99,EX,,,RO
Natural,Natural,NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Natural,Natural,NP2,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,1,2.99,EX,,,RO
Natural,Natural,NP3,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-2.0,-2.0,-2.0,1,2.99,EX,,,RO
Others,Extra Facet,EFT,-1.0,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Others,Extra Facet,EFC,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Others,Extra Facet,EFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Others,Extra Facet,EFP,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Others,Cavity,CTT,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,1,2.99,EX,,,RO
Others,Cavity,CTC,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,1,2.99,EX,,,RO
Others,Cavity,CTG,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,1,2.99,EX,,,RO
Others,Cavity,CTP,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,1,2.99,EX,,,RO
Others,Chip,CHT,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,0.0,1,2.99,EX,,,RO
Others,Chip,CHC,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,1,2.99,EX,,,RO
Others,Chip,CHG,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,1,2.99,EX,,,RO
Others,Chip,CHP,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,1,2.99,EX,,,RO
HO,HO,OHT,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,1,2.99,VG,,,RO
HO,HO,OHC,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,1,2.99,VG,,,RO
HO,HO,OHG,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,1,2.99,VG,,,RO
HO,HO,OHP,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,1,2.99,VG,,,RO
Open,Small,OT1,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,1,2.99,VG,,,RO
Open,Small,OC1,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,1,2.99,VG,,,RO
Open,Small,OG1,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,1,2.99,VG,,,RO
Open,Small,OP1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,1,2.99,VG,,,RO
Open,Medium,OT2,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,1,2.99,VG,,,RO
Open,Medium,OC2,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,-5.0,-5.0,-4.0,1,2.99,VG,,,RO
Open,Medium,OG2,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,1,2.99,VG,,,RO
Open,Medium,OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,1,2.99,VG,,,RO
Open,Big,OT3,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,1,2.99,VG,,,RO
Open,Big,OC3,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,1,2.99,VG,,,RO
Open,Big,OG3,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,1,2.99,VG,,,RO
Open,Big,OP3,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,1,2.99,VG,,,RO
Natural,Indented Natural,INT,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,1,2.99,VG,,,RO
Natural,Indented Natural,INC,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,1,2.99,VG,,,RO
Natural,Indented Natural,ING,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,1,2.99,VG,,,RO
Natural,Indented Natural,INP,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,1,2.99,VG,,,RO
Natural,Natural,NC1,-1.5,-1.5,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,1,2.99,VG,,,RO
Natural,Natural,NC2,-2.0,-2.0,-1.5,-1.5,-1.5,-0.5,-1.0,-1.0,-0.5,1,2.99,VG,,,RO
Natural,Natural,NC3,-4.0,-4.0,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,1,2.99,VG,,,RO
Natural,Natural,NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Natural,Natural,NP2,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,1,2.99,VG,,,RO
Natural,Natural,NP3,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-2.0,-2.0,-2.0,1,2.99,VG,,,RO
Others,Extra Facet,EFT,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Others,Extra Facet,EFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Others,Extra Facet,EFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Others,Extra Facet,EFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Others,Cavity,CTT,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,1,2.99,VG,,,RO
Others,Cavity,CTC,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,1,2.99,VG,,,RO
Others,Cavity,CTG,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,1,2.99,VG,,,RO
Others,Cavity,CTP,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,1,2.99,VG,,,RO
Others,Chip,CHT,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,0.0,1,2.99,VG,,,RO
Others,Chip,CHC,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,1,2.99,VG,,,RO
Others,Chip,CHG,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,1,2.99,VG,,,RO
